skin_isim;bynogame_fiyat_tl;son_hafta_satılan;son_2_hafta_satılan;son_1_ay_satılan;son_2_ay_satılan;son_3_ay_satılan;son_hafta_ortalama_fiyat;son_2_hafta_ortalama_fiyat;son_1_ay_ortalama_fiyat;son_2_ay_ortalama_fiyat;son_3_ay_ortalama_fiyat
M4A1-S | Wash me plz (Minimal Wear);170;4;7;12;14;14;30 ₺;31 ₺;31 ₺;31 ₺;31 ₺
AK-47 | Olive Polycam (Minimal Wear);30;3;10;20;20;20;30 ₺;30 ₺;30 ₺;30 ₺;30 ₺
M4A1-S | Fade (Factory New);17.000;1;3;12;17;17;15500 ₺;15166 ₺;14779 ₺;15973 ₺;15973 ₺
AK-47 | Olive Polycam (Field-Tested);30;1;3;8;8;8;30 ₺;30 ₺;31 ₺;31 ₺;31 ₺
Desert Eagle | Tilted (Factory New);350;7;11;16;16;16;202 ₺;196 ₺;218 ₺;218 ₺;218 ₺
Five-SeveN | Midnight Paintover (Factory New);30;-;-;-;-;-;;;-;;
Charm | Lil' Whiskers;140;-;-;-;1;1;;;-;150 ₺;150 ₺
AWP | Crakow! (Field-Tested);2.945;3;5;9;9;9;2728 ₺;2691 ₺;2344 ₺;2344 ₺;2344 ₺
Galil AR | Rainbow Spoon (Field-Tested);1.500;2;4;5;5;5;1182 ₺;1216 ₺;1197 ₺;1197 ₺;1197 ₺
M4A1-S | Wash me plz (Field-Tested);30;2;2;10;11;11;30 ₺;30 ₺;29 ₺;29 ₺;29 ₺
StatTrak™ Music Kit | Austin Wintory, The Devil Went Clubbing in Georgia;680;-;-;-;-;-;;;-;;
Music Kit | Austin Wintory, The Devil Went Clubbing in Georgia;500;-;-;3;4;4;;;383 ₺;363 ₺;363 ₺
★ Kukri Knife | Blue Steel (Factory New);16.800;-;-;-;-;-;;;-;;
★ StatTrak™ Kukri Knife | Blue Steel (Well-Worn);10.800;-;-;-;-;-;;;-;;
★ StatTrak™ Kukri Knife | Crimson Web (Minimal Wear);17.373;-;-;-;-;-;;;-;;
★ StatTrak™ Kukri Knife | Scorched (Battle-Scarred);6.033;-;-;-;-;-;;;-;;
★ StatTrak™ Kukri Knife | Safari Mesh (Minimal Wear);5.856;-;-;-;-;-;;;-;;
★ Kukri Knife | Scorched (Well-Worn);4.800;1;1;3;3;3;4780 ₺;4780 ₺;4527 ₺;4527 ₺;4527 ₺
Sticker | Natus Vincere (Gold) | Copenhagen 2024;600;-;-;-;3;3;;;-;180 ₺;180 ₺
Sticker | KOI (Gold) | Copenhagen 2024;150;-;-;-;-;-;;;-;;
★ StatTrak™ Kukri Knife | Case Hardened (Field-Tested);12.000;-;-;-;2;2;;;-;10000 ₺;10000 ₺
Sticker | n0rb3r7 (Holo) | Copenhagen 2024;79;-;-;-;-;-;;;-;;
Copenhagen 2024 Ancient Souvenir Package;113;-;-;-;4;6;;;-;90 ₺;91 ₺
★ StatTrak™ Kukri Knife | Case Hardened (Minimal Wear);17.000;-;-;-;-;-;;;-;;
Sticker | Wicadia (Holo) | Copenhagen 2024;400;-;1;1;1;1;;31 ₺;31 ₺;31 ₺;31 ₺
★ Kukri Knife | Scorched (Battle-Scarred);5.374;-;-;2;4;4;;;5042 ₺;4961 ₺;4961 ₺
Sticker | Eternal Fire (Gold) | Copenhagen 2024;234;1;1;1;2;5;140 ₺;140 ₺;140 ₺;120 ₺;123 ₺
Sticker | FURIA (Gold) | Copenhagen 2024;230;-;-;-;-;2;;;-;;
Sticker | Team Spirit (Holo) | Copenhagen 2024;80;-;-;-;-;1;;;-;;
Sticker | Eternal Fire (Holo) | Copenhagen 2024;137;1;2;7;12;12;70 ₺;80 ₺;91 ₺;94 ₺;94 ₺
Sticker | Calyx (Holo) | Copenhagen 2024;140;-;1;1;1;1;;25 ₺;25 ₺;25 ₺;25 ₺
Sticker | Natus Vincere (Holo) | Copenhagen 2024;105;-;-;1;1;1;;;120 ₺;120 ₺;120 ₺
★ Kukri Knife | Safari Mesh (Well-Worn);5.000;-;-;-;-;-;;;-;;
★ Kukri Knife | Crimson Web (Battle-Scarred);8.654;-;-;1;1;1;;;6500 ₺;6500 ₺;6500 ₺
StatTrak™ AK-47 | Inheritance (Well-Worn);5.478;-;-;-;1;1;;;-;3450 ₺;3450 ₺
★ Kukri Knife | Scorched (Minimal Wear);6.900;-;1;2;3;4;;6700 ₺;6450 ₺;6200 ₺;6031 ₺
