skin_isim;bynogame_fiyat_tl;son_hafta_satılan;son_2_hafta_satılan;son_1_ay_satılan;son_2_ay_satılan;son_3_ay_satılan;son_hafta_ortalama_fiyat;son_2_hafta_ortalama_fiyat;son_1_ay_ortalama_fiyat;son_2_ay_ortalama_fiyat;son_3_ay_ortalama_fiyat
★ StatTrak™ Huntsman Knife | Ultraviolet (Field-Tested);5.500;2;2;3;4;7;4083 ₺;4083 ₺;4203 ₺;4328 ₺;4283 ₺
StatTrak™ UMP-45 | Scaffold (Minimal Wear);139;-;-;-;1;1;;;-;100 ₺;100 ₺
★ Butterfly Knife | Tiger Tooth (Factory New);62.000;-;1;1;2;2;;52000 ₺;52000 ₺;53175 ₺;53175 ₺
StatTrak™ XM1014 | Seasons (Field-Tested);107;-;-;-;1;3;;;-;75 ₺;84 ₺
StatTrak™ M249 | Emerald Poison Dart (Minimal Wear);120;-;-;-;-;-;;;-;;
StatTrak™ UMP-45 | Scaffold (Battle-Scarred);98;-;-;-;-;-;;;-;;
StatTrak™ M4A1-S | Decimator (Minimal Wear);1.744;1;1;2;6;9;1300 ₺;1300 ₺;1475 ₺;1458 ₺;1422 ₺
Galil AR | Crimson Tsunami (Minimal Wear);79;2;3;3;6;11;97 ₺;91 ₺;91 ₺;84 ₺;84 ₺
MAC-10 | Last Dive (Battle-Scarred);92;-;-;-;-;-;;;-;;
UMP-45 | Scaffold (Factory New);240;-;-;-;1;1;;;-;75 ₺;75 ₺
StatTrak™ UMP-45 | Scaffold (Well-Worn);96;-;-;-;-;-;;;-;;
CZ75-Auto | Xiangliu (Battle-Scarred);443;-;-;-;-;-;;;-;;
StatTrak™ UMP-45 | Scaffold (Field-Tested);105;-;1;2;4;4;;88 ₺;93 ₺;91 ₺;91 ₺
UMP-45 | Scaffold (Well-Worn);50;-;-;-;-;-;;;-;;
StatTrak™ AK-47 | Bloodsport (Field-Tested);7.778;-;-;-;1;3;;;-;5837 ₺;5615 ₺
MAC-10 | Last Dive (Field-Tested);53;-;-;1;1;1;;;48 ₺;48 ₺;48 ₺
M4A1-S | Decimator (Minimal Wear);650;4;8;27;48;67;639 ₺;620 ₺;631 ₺;620 ₺;610 ₺
CZ75-Auto | Xiangliu (Factory New);548;-;-;-;-;-;;;-;;
XM1014 | Seasons (Factory New);110;-;1;1;3;5;;110 ₺;110 ₺;85 ₺;86 ₺
CZ75-Auto | Xiangliu (Field-Tested);667;-;-;1;1;1;;;249 ₺;249 ₺;249 ₺
M4A1-S | Decimator (Factory New);1.449;2;3;9;18;22;1325 ₺;1300 ₺;1391 ₺;1408 ₺;1388 ₺
CZ75-Auto | Xiangliu (Minimal Wear);471;-;-;-;-;-;;;-;;
UMP-45 | Scaffold (Minimal Wear);67;-;1;1;2;3;;60 ₺;60 ₺;58 ₺;50 ₺
★ StatTrak™ Shadow Daggers | Tiger Tooth (Factory New);7.498;1;2;4;5;9;5150 ₺;5150 ₺;5025 ₺;4950 ₺;4927 ₺
M249 | Emerald Poison Dart (Minimal Wear);59;-;-;2;2;4;;;55 ₺;55 ₺;53 ₺
StatTrak™ M4A1-S | Decimator (Field-Tested);980;1;2;4;9;12;720 ₺;785 ₺;823 ₺;764 ₺;736 ₺
MAC-10 | Last Dive (Factory New);123;-;-;1;3;4;;;90 ₺;94 ₺;93 ₺
M249 | Emerald Poison Dart (Field-Tested);53;2;3;3;4;4;53 ₺;47 ₺;47 ₺;50 ₺;50 ₺
M249 | Emerald Poison Dart (Factory New);123;-;-;-;1;2;;;-;80 ₺;90 ₺
UMP-45 | Scaffold (Field-Tested);40;-;-;-;1;2;;;-;68 ₺;57 ₺
Galil AR | Crimson Tsunami (Field-Tested);45;1;1;1;8;12;53 ₺;53 ₺;53 ₺;48 ₺;51 ₺
XM1014 | Seasons (Minimal Wear);56;-;-;-;1;2;;;-;61 ₺;53 ₺
★ Bowie Knife | Doppler (Factory New);17.040;1;1;3;3;8;12100 ₺;12100 ₺;13393 ₺;13393 ₺;14304 ₺
★ StatTrak™ Karambit | Bright Water (Battle-Scarred);29.026;-;-;-;-;-;;;-;;
Sticker | Zero | Atlanta 2017;450;-;-;-;-;-;;;-;;
★ Bloodhound Gloves | Snakebite (Battle-Scarred);2.600;3;3;4;5;8;2400 ₺;2400 ₺;2393 ₺;2364 ₺;2296 ₺
StatTrak™ Music Kit | Midnight Riders, All I Want for Christmas;201;-;-;-;-;-;;;-;;
★ Driver Gloves | Convoy (Minimal Wear);5.108;-;-;-;-;-;;;-;;
★ StatTrak™ M9 Bayonet | Lore (Battle-Scarred);26.777;-;-;-;-;-;;;-;;
★ Specialist Gloves | Forest DDPAT (Battle-Scarred);4.041;-;-;-;1;1;;;-;3461 ₺;3461 ₺
★ Bloodhound Gloves | Bronzed (Battle-Scarred);3.510;-;-;-;3;3;;;-;2627 ₺;2627 ₺
★ Specialist Gloves | Foundation (Well-Worn);10.557;-;-;-;-;-;;;-;;
★ Bloodhound Gloves | Charred (Well-Worn);7.568;-;-;-;-;1;;;-;;
★ Moto Gloves | Cool Mint (Battle-Scarred);6.343;-;-;-;-;-;;;-;;
★ Moto Gloves | Boom! (Minimal Wear);14.000;-;-;-;-;-;;;-;;
★ Driver Gloves | Diamondback (Well-Worn);4.539;-;-;-;-;1;;;-;;
★ Hand Wraps | Slaughter (Well-Worn);12.000;-;-;1;1;1;;;6910 ₺;6910 ₺;6910 ₺
★ Sport Gloves | Arid (Well-Worn);18.191;-;-;-;-;-;;;-;;
★ Hand Wraps | Badlands (Well-Worn);4.655;-;1;2;2;3;;4500 ₺;3925 ₺;3925 ₺;4283 ₺
★ Moto Gloves | Cool Mint (Well-Worn);16.483;-;-;-;-;-;;;-;;
★ Hand Wraps | Spruce DDPAT (Battle-Scarred);4.463;-;-;-;1;2;;;-;3500 ₺;3500 ₺
★ Driver Gloves | Convoy (Battle-Scarred);3.599;-;-;-;-;-;;;-;;
StatTrak™ Sawed-Off | Wasteland Princess (Well-Worn);194;-;-;-;-;-;;;-;;
★ Driver Gloves | Lunar Weave (Battle-Scarred);3.750;-;2;3;3;3;;3256 ₺;3337 ₺;3337 ₺;3337 ₺
StatTrak™ SSG 08 | Dragonfire (Well-Worn);1.707;-;-;-;-;-;;;-;;
StatTrak™ FAMAS | Mecha Industries (Battle-Scarred);230;-;-;-;-;-;;;-;;
★ Driver Gloves | Convoy (Well-Worn);0;-;-;-;1;2;;;-;2980 ₺;2615 ₺
★ Hand Wraps | Badlands (Minimal Wear);8.755;-;-;1;1;1;;;8579 ₺;8579 ₺;8579 ₺
★ Moto Gloves | Eclipse (Battle-Scarred);4.543;-;-;-;-;-;;;-;;
★ Hand Wraps | Badlands (Battle-Scarred);4.506;1;1;1;1;1;3200 ₺;3200 ₺;3200 ₺;3200 ₺;3200 ₺
StatTrak™ USP-S | Cyrex (Well-Worn);199;-;-;-;-;-;;;-;;
★ Hand Wraps | Leather (Minimal Wear);13.626;-;-;-;-;-;;;-;;
★ Specialist Gloves | Forest DDPAT (Well-Worn);4.823;-;-;-;-;-;;;-;;
★ Sport Gloves | Pandora's Box (Battle-Scarred);109.999;-;-;-;1;1;;;-;71000 ₺;71000 ₺
★ Bloodhound Gloves | Guerrilla (Well-Worn);3.649;-;-;-;-;1;;;-;;
★ Driver Gloves | Crimson Weave (Well-Worn);8.348;-;-;-;2;3;;;-;6860 ₺;6690 ₺
★ Driver Gloves | Lunar Weave (Well-Worn);5.437;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Freehand (Battle-Scarred);9.302;-;-;-;-;-;;;-;;
★ Sport Gloves | Arid (Battle-Scarred);10.968;-;-;-;-;-;;;-;;
★ Moto Gloves | Boom! (Well-Worn);5.747;-;-;-;1;1;;;-;4300 ₺;4300 ₺
★ Driver Gloves | Lunar Weave (Minimal Wear);14.011;-;-;-;-;-;;;-;;
★ Bloodhound Gloves | Bronzed (Well-Worn);4.667;-;1;2;3;3;;3979 ₺;3489 ₺;3109 ₺;3109 ₺
★ Specialist Gloves | Emerald Web (Well-Worn);23.000;1;1;1;1;2;17000 ₺;17000 ₺;17000 ₺;17000 ₺;18875 ₺
★ Driver Gloves | Diamondback (Minimal Wear);9.581;-;-;-;1;1;;;-;9050 ₺;9050 ₺
SSG 08 | Dragonfire (Well-Worn);588;-;-;1;1;2;;;462 ₺;462 ₺;386 ₺
★ Driver Gloves | Crimson Weave (Battle-Scarred);6.668;-;-;-;-;-;;;-;;
★ Bloodhound Gloves | Snakebite (Minimal Wear);5.228;-;1;1;2;2;;5250 ₺;5250 ₺;4575 ₺;4575 ₺
StatTrak™ M4A4 | Buzz Kill (Factory New);2.500;-;-;-;1;1;;;-;2230 ₺;2230 ₺
★ Hand Wraps | Slaughter (Battle-Scarred);6.500;-;1;1;3;6;;5600 ₺;5600 ₺;6233 ₺;6540 ₺
StatTrak™ M4A4 | Buzz Kill (Battle-Scarred);842;-;-;-;-;-;;;-;;
★ Specialist Gloves | Emerald Web (Field-Tested);32.658;-;1;1;1;3;;27000 ₺;27000 ₺;27000 ₺;27854 ₺
★ Moto Gloves | Spearmint (Battle-Scarred);18.000;-;-;-;-;-;;;-;;
StatTrak™ M4A4 | Buzz Kill (Field-Tested);892;2;2;3;3;6;897 ₺;897 ₺;898 ₺;898 ₺;819 ₺
M4A4 | Buzz Kill (Well-Worn);300;-;1;1;2;3;;242 ₺;242 ₺;221 ₺;229 ₺
★ Bloodhound Gloves | Snakebite (Well-Worn);3.895;-;-;-;-;-;;;-;;
★ Moto Gloves | Eclipse (Field-Tested);6.450;1;1;2;3;3;6000 ₺;6000 ₺;6499 ₺;6233 ₺;6233 ₺
StatTrak™ P90 | Shallow Grave (Well-Worn);218;-;-;-;-;-;;;-;;
Sawed-Off | Wasteland Princess (Well-Worn);96;-;-;-;-;-;;;-;;
P90 | Shallow Grave (Well-Worn);95;-;-;-;1;3;;;-;45 ₺;60 ₺
★ Bloodhound Gloves | Charred (Field-Tested);5.472;1;1;3;3;6;4700 ₺;4700 ₺;4450 ₺;4450 ₺;4311 ₺
★ Driver Gloves | Lunar Weave (Field-Tested);5.760;-;-;-;-;-;;;-;;
FAMAS | Mecha Industries (Well-Worn);128;-;-;1;1;5;;;67 ₺;67 ₺;84 ₺
★ Specialist Gloves | Foundation (Field-Tested);12.930;-;-;-;-;-;;;-;;
StatTrak™ Sawed-Off | Wasteland Princess (Battle-Scarred);144;-;-;-;-;-;;;-;;
★ Driver Gloves | Diamondback (Field-Tested);5.500;-;-;-;1;1;;;-;5000 ₺;5000 ₺
SSG 08 | Dragonfire (Battle-Scarred);0;-;1;1;1;3;;325 ₺;325 ₺;325 ₺;325 ₺
StatTrak™ Sawed-Off | Wasteland Princess (Minimal Wear);334;-;-;-;-;-;;;-;;
StatTrak™ M4A4 | Buzz Kill (Well-Worn);0;-;-;-;-;-;;;-;;
StatTrak™ Sawed-Off | Wasteland Princess (Field-Tested);172;-;-;-;-;-;;;-;;
★ Specialist Gloves | Emerald Web (Minimal Wear);81.000;-;1;1;1;1;;70000 ₺;70000 ₺;70000 ₺;70000 ₺
★ Specialist Gloves | Forest DDPAT (Field-Tested);4.983;-;-;2;2;4;;;5255 ₺;5255 ₺;4536 ₺
StatTrak™ SSG 08 | Dragonfire (Factory New);3.390;-;-;-;1;2;;;-;2425 ₺;2323 ₺
StatTrak™ USP-S | Cyrex (Battle-Scarred);180;-;-;-;-;1;;;-;;
FAMAS | Mecha Industries (Battle-Scarred);100;-;-;1;1;2;;;90 ₺;90 ₺;83 ₺
★ Driver Gloves | Convoy (Field-Tested);4.132;-;-;-;1;3;;;-;2999 ₺;2725 ₺
StatTrak™ P90 | Shallow Grave (Factory New);776;1;1;1;1;1;450 ₺;450 ₺;450 ₺;450 ₺;450 ₺
★ Moto Gloves | Boom! (Field-Tested);6.784;-;-;-;-;2;;;-;;
StatTrak™ P90 | Shallow Grave (Battle-Scarred);143;-;-;-;-;-;;;-;;
★ Driver Gloves | Crimson Weave (Minimal Wear);26.653;-;-;-;-;1;;;-;;
★ Bloodhound Gloves | Guerrilla (Battle-Scarred);3.512;-;-;-;-;-;;;-;;
StatTrak™ SSG 08 | Dragonfire (Field-Tested);1.499;-;-;3;6;8;;;1033 ₺;1308 ₺;1269 ₺
M4A4 | Buzz Kill (Battle-Scarred);310;-;1;1;4;9;;165 ₺;165 ₺;202 ₺;191 ₺
★ Sport Gloves | Arid (Field-Tested);22.226;-;-;-;-;-;;;-;;
StatTrak™ G3SG1 | Stinger (Factory New);122;-;-;1;1;1;;;126 ₺;126 ₺;126 ₺
StatTrak™ Sawed-Off | Wasteland Princess (Factory New);570;-;-;-;-;-;;;-;;
★ Hand Wraps | Badlands (Field-Tested);5.263;-;-;2;7;9;;;4450 ₺;4136 ₺;4000 ₺
StatTrak™ M4A4 | Buzz Kill (Minimal Wear);1.415;-;-;-;1;3;;;-;1000 ₺;1104 ₺
StatTrak™ Dual Berettas | Royal Consorts (Factory New);402;-;-;1;1;1;;;370 ₺;370 ₺;370 ₺
StatTrak™ P90 | Shallow Grave (Minimal Wear);332;-;-;-;-;-;;;-;;
StatTrak™ SSG 08 | Dragonfire (Minimal Wear);2.050;-;-;-;2;3;;;-;1450 ₺;1450 ₺
StatTrak™ Galil AR | Black Sand (Factory New);109;-;-;-;-;-;;;-;;
StatTrak™ MP7 | Cirrus (Factory New);94;1;2;4;6;7;94 ₺;98 ₺;98 ₺;88 ₺;89 ₺
StatTrak™ P2000 | Turf (Factory New);139;-;-;-;-;-;;;-;;
★ Hand Wraps | Spruce DDPAT (Well-Worn);4.000;1;2;4;4;5;4549 ₺;4025 ₺;3900 ₺;3900 ₺;3992 ₺
★ Bloodhound Gloves | Guerrilla (Field-Tested);3.697;2;2;4;7;11;2500 ₺;2500 ₺;3122 ₺;3041 ₺;2862 ₺
StatTrak™ P90 | Shallow Grave (Field-Tested);135;-;-;-;-;-;;;-;;
★ Moto Gloves | Eclipse (Minimal Wear);16.490;-;-;-;-;-;;;-;;
★ Hand Wraps | Leather (Battle-Scarred);6.000;-;1;1;3;5;;5150 ₺;5150 ₺;5217 ₺;5150 ₺
StatTrak™ CZ75-Auto | Polymer (Factory New);36;-;-;1;2;5;;;34 ₺;35 ₺;45 ₺
★ Moto Gloves | Cool Mint (Minimal Wear);33.913;-;-;-;-;-;;;-;;
StatTrak™ FAMAS | Mecha Industries (Field-Tested);250;-;1;2;8;9;;200 ₺;193 ₺;236 ₺;232 ₺
StatTrak™ M4A1-S | Flashback (Well-Worn);87;-;-;-;-;-;;;-;;
FAMAS | Mecha Industries (Factory New);284;2;2;5;15;24;283 ₺;283 ₺;254 ₺;256 ₺;249 ₺
StatTrak™ FAMAS | Mecha Industries (Minimal Wear);408;-;4;6;8;10;;466 ₺;438 ₺;427 ₺;408 ₺
StatTrak™ Nova | Gila (Field-Tested);57;-;-;-;-;2;;;-;;
★ Hand Wraps | Slaughter (Field-Tested);8.900;-;1;6;11;15;;11027 ₺;9464 ₺;8860 ₺;8897 ₺
P90 | Shallow Grave (Factory New);270;-;-;-;1;2;;;-;185 ₺;188 ₺
★ Specialist Gloves | Emerald Web (Battle-Scarred);13.250;-;-;-;-;1;;;-;;
★ Hand Wraps | Leather (Field-Tested);7.798;3;3;6;11;16;6900 ₺;6900 ₺;6543 ₺;6635 ₺;6721 ₺
StatTrak™ MP9 | Sand Scale (Factory New);35;1;1;2;4;4;37 ₺;37 ₺;40 ₺;39 ₺;39 ₺
G3SG1 | Stinger (Factory New);42;1;1;2;3;5;54 ₺;54 ₺;48 ₺;46 ₺;44 ₺
USP-S | Cyrex (Well-Worn);46;-;1;2;3;3;;45 ₺;38 ₺;42 ₺;42 ₺
StatTrak™ M4A1-S | Flashback (Field-Tested);88;1;2;2;6;12;97 ₺;93 ₺;93 ₺;93 ₺;87 ₺
M4A4 | Buzz Kill (Factory New);1.050;-;-;2;5;9;;;1020 ₺;947 ₺;975 ₺
★ Hand Wraps | Spruce DDPAT (Field-Tested);5.332;-;1;1;1;1;;3900 ₺;3900 ₺;3900 ₺;3900 ₺
★ Hand Wraps | Slaughter (Minimal Wear);23.000;-;-;-;-;-;;;-;;
Sawed-Off | Wasteland Princess (Battle-Scarred);76;1;1;2;3;4;50 ₺;50 ₺;54 ₺;52 ₺;58 ₺
Sawed-Off | Wasteland Princess (Minimal Wear);138;-;-;-;1;2;;;-;130 ₺;150 ₺
Dual Berettas | Royal Consorts (Factory New);105;-;-;1;6;8;;;112 ₺;99 ₺;104 ₺
★ Moto Gloves | Boom! (Battle-Scarred);4.722;-;-;-;2;2;;;-;2940 ₺;2940 ₺
StatTrak™ USP-S | Cyrex (Factory New);392;1;1;2;4;4;300 ₺;300 ₺;293 ₺;308 ₺;308 ₺
StatTrak™ Nova | Gila (Factory New);154;-;-;-;1;2;;;-;100 ₺;98 ₺
StatTrak™ MAG-7 | Sonar (Factory New);38;-;-;-;-;-;;;-;;
StatTrak™ Nova | Gila (Minimal Wear);55;-;-;-;-;-;;;-;;
★ Driver Gloves | Crimson Weave (Field-Tested);10.997;-;-;1;2;4;;;8500 ₺;8752 ₺;8815 ₺
StatTrak™ Music Kit | Blitz Kids, The Good Youth;586;-;1;1;5;5;;587 ₺;587 ₺;570 ₺;570 ₺
USP-S | Cyrex (Factory New);100;1;6;15;37;51;105 ₺;97 ₺;104 ₺;104 ₺;101 ₺
StatTrak™ G3SG1 | Stinger (Minimal Wear);52;-;-;-;1;2;;;-;52 ₺;46 ₺
StatTrak™ Music Kit | Neck Deep, Life's Not Out To Get You;450;-;-;1;1;2;;;370 ₺;370 ₺;378 ₺
Sealed Graffiti | Fire Serpent;200;-;-;1;1;1;;;90 ₺;90 ₺;90 ₺
Sealed Graffiti | Howling Dawn;250;-;-;-;-;-;;;-;;
Sealed Graffiti | Crown;250;-;-;-;1;2;;;-;60 ₺;60 ₺
Sealed Graffiti | Cerberus;80;-;-;-;2;2;;;-;50 ₺;50 ₺
Chroma Pin;592;-;2;4;5;6;;450 ₺;499 ₺;494 ₺;492 ₺
Overpass Pin;255;1;1;6;12;20;170 ₺;170 ₺;149 ₺;143 ₺;140 ₺
Bloodhound Pin;270;-;2;5;7;12;;240 ₺;236 ₺;229 ₺;227 ₺
Cache Pin;650;-;2;2;2;2;;578 ₺;578 ₺;578 ₺;578 ₺
Office Pin;359;-;2;3;5;7;;324 ₺;312 ₺;292 ₺;287 ₺
★ StatTrak™ Gut Knife | Lore (Well-Worn);8.616;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Lore (Well-Worn);18.254;-;-;-;-;-;;;-;;
★ StatTrak™ Karambit | Freehand (Well-Worn);30.001;-;-;-;-;-;;;-;;
★ StatTrak™ Karambit | Bright Water (Well-Worn);26.646;-;-;-;-;-;;;-;;
★ StatTrak™ Gut Knife | Bright Water (Minimal Wear);5.000;-;-;-;-;-;;;-;;
★ StatTrak™ Karambit | Black Laminate (Field-Tested);37.402;-;-;-;-;-;;;-;;
★ Gut Knife | Lore (Well-Worn);5.200;-;2;2;4;4;;4400 ₺;4400 ₺;4475 ₺;4475 ₺
StatTrak™ AK-47 | Neon Revolution (Well-Worn);1.499;-;-;-;1;1;;;-;1200 ₺;1200 ₺
StatTrak™ AUG | Syd Mead (Battle-Scarred);135;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Lore (Battle-Scarred);12.688;-;-;-;-;-;;;-;;
StatTrak™ MP9 | Airlock (Battle-Scarred);141;-;-;-;-;-;;;-;;
StatTrak™ Desert Eagle | Directive (Factory New);2.142;-;-;1;1;1;;;1100 ₺;1100 ₺;1100 ₺
StatTrak™ Desert Eagle | Directive (Minimal Wear);265;-;-;1;1;3;;;164 ₺;164 ₺;220 ₺
★ Flip Knife | Bright Water (Battle-Scarred);0;-;-;-;1;1;;;-;5300 ₺;5300 ₺
StatTrak™ SCAR-20 | Powercore (Factory New);214;-;-;-;-;1;;;-;;
StatTrak™ MP9 | Airlock (Field-Tested);173;1;1;2;3;4;153 ₺;153 ₺;188 ₺;198 ₺;182 ₺
StatTrak™ AK-47 | Neon Revolution (Factory New);5.500;1;1;1;1;1;4315 ₺;4315 ₺;4315 ₺;4315 ₺;4315 ₺
StatTrak™ AUG | Syd Mead (Factory New);730;-;-;1;1;3;;;500 ₺;500 ₺;535 ₺
StatTrak™ Tec-9 | Fuel Injector (Factory New);1.700;-;-;-;-;-;;;-;;
StatTrak™ Glock-18 | Weasel (Factory New);370;1;3;3;4;5;215 ₺;287 ₺;287 ₺;284 ₺;306 ₺
Tec-9 | Fuel Injector (Factory New);571;-;-;-;4;6;;;-;489 ₺;472 ₺
Desert Eagle | Directive (Factory New);491;-;-;-;-;-;;;-;;
StatTrak™ MAG-7 | Petroglyph (Factory New);138;-;-;-;-;-;;;-;;
StatTrak™ Tec-9 | Fuel Injector (Minimal Wear);599;-;-;-;1;2;;;-;550 ₺;550 ₺
MP9 | Airlock (Factory New);429;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Autotronic (Battle-Scarred);21.751;-;-;-;-;-;;;-;;
MP9 | Airlock (Battle-Scarred);87;-;1;1;1;1;;84 ₺;84 ₺;84 ₺;84 ₺
StatTrak™ AUG | Syd Mead (Field-Tested);125;-;-;1;2;4;;;110 ₺;103 ₺;110 ₺
AK-47 | Neon Revolution (Factory New);3.721;2;3;3;8;12;2650 ₺;2650 ₺;2650 ₺;2601 ₺;2474 ₺
AUG | Syd Mead (Factory New);275;-;-;1;5;6;;;296 ₺;233 ₺;242 ₺
StatTrak™ Five-SeveN | Scumbria (Factory New);73;-;-;-;-;-;;;-;;
StatTrak™ XM1014 | Slipstream (Factory New);49;3;3;6;13;16;50 ₺;50 ₺;50 ₺;52 ₺;50 ₺
StatTrak™ SG 553 | Triarch (Factory New);194;-;-;-;1;3;;;-;140 ₺;167 ₺
StatTrak™ SG 553 | Triarch (Minimal Wear);50;-;-;-;1;2;;;-;54 ₺;53 ₺
MP9 | Airlock (Well-Worn);74;1;1;1;2;4;50 ₺;50 ₺;50 ₺;50 ₺;56 ₺
AUG | Syd Mead (Battle-Scarred);53;1;1;1;1;1;47 ₺;47 ₺;47 ₺;47 ₺;47 ₺
StatTrak™ Tec-9 | Fuel Injector (Field-Tested);359;1;1;2;2;4;299 ₺;299 ₺;250 ₺;250 ₺;236 ₺
StatTrak™ MAG-7 | Petroglyph (Minimal Wear);60;-;-;-;-;-;;;-;;
StatTrak™ Negev | Dazzle (Minimal Wear);84;-;-;-;1;1;;;-;95 ₺;95 ₺
AUG | Syd Mead (Well-Worn);70;-;-;1;1;2;;;73 ₺;73 ₺;67 ₺
StatTrak™ CZ75-Auto | Imprint (Factory New);60;-;-;1;1;1;;;70 ₺;70 ₺;70 ₺
StatTrak™ MP9 | Airlock (Minimal Wear);474;-;-;-;-;-;;;-;;
MP9 | Airlock (Minimal Wear);183;2;4;5;7;9;188 ₺;157 ₺;160 ₺;162 ₺;161 ₺
StatTrak™ Tec-9 | Fuel Injector (Well-Worn);200;-;-;1;1;3;;;199 ₺;199 ₺;193 ₺
StatTrak™ Tec-9 | Fuel Injector (Battle-Scarred);209;1;1;1;3;3;135 ₺;135 ₺;135 ₺;161 ₺;161 ₺
AUG | Syd Mead (Minimal Wear);160;2;3;5;8;13;155 ₺;158 ₺;145 ₺;141 ₺;134 ₺
StatTrak™ FAMAS | Roll Cage (Battle-Scarred);225;-;-;-;-;-;;;-;;
StatTrak™ FAMAS | Roll Cage (Well-Worn);208;-;-;-;-;1;;;-;;
StatTrak™ FAMAS | Roll Cage (Field-Tested);243;-;-;2;2;2;;;209 ₺;209 ₺;209 ₺
StatTrak™ FAMAS | Roll Cage (Factory New);2.754;-;-;-;-;-;;;-;;
FAMAS | Roll Cage (Factory New);440;-;-;-;-;1;;;-;;
FAMAS | Roll Cage (Battle-Scarred);65;-;-;-;2;2;;;-;56 ₺;56 ₺
FAMAS | Roll Cage (Minimal Wear);130;2;6;8;13;15;130 ₺;128 ₺;125 ₺;137 ₺;137 ₺
SCAR-20 | Powercore (Factory New);82;-;-;1;2;2;;;74 ₺;60 ₺;60 ₺
StatTrak™ AUG | Syd Mead (Minimal Wear);328;-;1;2;4;6;;299 ₺;250 ₺;293 ₺;266 ₺
StatTrak™ G3SG1 | Ventilator (Factory New);56;-;-;-;2;2;;;-;33 ₺;33 ₺
StatTrak™ P90 | Grim (Factory New);77;2;5;7;14;20;93 ₺;81 ₺;80 ₺;81 ₺;79 ₺
AK-47 | Neon Revolution (Minimal Wear);1.330;2;4;10;20;36;1190 ₺;1207 ₺;1208 ₺;1239 ₺;1154 ₺
MAG-7 | Petroglyph (Factory New);62;-;1;1;1;2;;60 ₺;60 ₺;60 ₺;48 ₺
StatTrak™ FAMAS | Roll Cage (Minimal Wear);455;-;-;-;2;3;;;-;565 ₺;527 ₺
★ StatTrak™ Gut Knife | Autotronic (Battle-Scarred);7.045;-;-;-;1;1;;;-;4650 ₺;4650 ₺
★ StatTrak™ Gut Knife | Black Laminate (Battle-Scarred);5.168;-;-;-;-;-;;;-;;
★ Bayonet | Bright Water (Well-Worn);9.919;-;-;-;-;-;;;-;;
★ Gut Knife | Freehand (Well-Worn);4.000;-;-;-;-;3;;;-;;
★ StatTrak™ Gut Knife | Autotronic (Factory New);11.000;-;-;-;1;1;;;-;8400 ₺;8400 ₺
★ Flip Knife | Freehand (Well-Worn);8.837;-;-;-;-;-;;;-;;
★ StatTrak™ M9 Bayonet | Freehand (Factory New);26.835;1;1;1;1;1;28100 ₺;28100 ₺;28100 ₺;28100 ₺;28100 ₺
★ StatTrak™ Gut Knife | Lore (Battle-Scarred);7.500;-;-;-;-;-;;;-;;
★ Flip Knife | Autotronic (Well-Worn);15.654;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Freehand (Field-Tested);11.233;-;-;-;1;1;;;-;6750 ₺;6750 ₺
★ StatTrak™ Bayonet | Lore (Battle-Scarred);15.749;-;-;-;-;-;;;-;;
★ StatTrak™ M9 Bayonet | Autotronic (Battle-Scarred);39.878;-;-;-;-;-;;;-;;
★ StatTrak™ Karambit | Bright Water (Field-Tested);22.299;-;-;-;-;-;;;-;;
★ M9 Bayonet | Bright Water (Battle-Scarred);21.982;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Autotronic (Well-Worn);21.340;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Black Laminate (Battle-Scarred);13.400;-;-;-;-;-;;;-;;
★ Flip Knife | Freehand (Battle-Scarred);8.568;-;-;-;-;-;;;-;;
★ Karambit | Lore (Well-Worn);33.822;-;-;-;-;1;;;-;;
★ StatTrak™ Karambit | Bright Water (Factory New);34.271;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Freehand (Field-Tested);27.437;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Black Laminate (Well-Worn);11.000;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Freehand (Minimal Wear);10.530;-;-;-;-;-;;;-;;
★ M9 Bayonet | Freehand (Battle-Scarred);24.718;-;-;1;1;1;;;15500 ₺;15500 ₺;15500 ₺
★ Karambit | Autotronic (Battle-Scarred);33.400;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Freehand (Well-Worn);12.359;-;-;-;-;-;;;-;;
★ Gut Knife | Bright Water (Well-Worn);4.667;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Freehand (Factory New);11.327;-;-;-;-;-;;;-;;
★ StatTrak™ Bayonet | Black Laminate (Field-Tested);12.507;-;-;-;-;-;;;-;;
★ StatTrak™ Flip Knife | Autotronic (Field-Tested);11.488;-;-;-;-;-;;;-;;
★ StatTrak™ Gut Knife | Freehand (Field-Tested);5.100;-;-;-;-;-;;;-;;
